condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t1__gpt_5_4_mini__m5v2di,0,6,8.5,8,1,6,0,0,309,2.224,0.2247,0.9939,3,3,gpt-5.4-mini,2421,2361
s1__t1__gpt_5_4_mini__m5v2di,0,7,8.5,8,1,6,0,0,309,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,1973,1936
s1__t1__gpt_5_4_mini__m5v2di,0,8,8.5,8,1,6,0,0,309,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,2154,1933
s1__t1__gpt_5_4_mini__m5v2di,0,9,8.5,8,1,6,0,0,450,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,2958,2214
s1__t1__gpt_5_4_mini__m5v2di,0,10,8,8,0,6,0,0,450,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,2778,1966
s1__t1__gpt_5_4_mini__m5v2di,0,11,8.5,8,1,6,0,0,590,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,3094,2131
s1__t1__gpt_5_4_mini__m5v2di,0,12,8.5,8,1,6,0,0,730,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,3862,2038
s1__t1__gpt_5_4_mini__m5v2di,0,13,8.5,8,1,6,0,0,868,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,4273,3201
s1__t1__gpt_5_4_mini__m5v2di,0,14,8.5,8,1,6,0,0,1008,2.2309,0.2248,0.9903,3,3,gpt-5.4-mini,4724,1913
s1__t1__gpt_5_4_mini__m5v2di,0,15,8.5,8,1,6,0,0,1144,2.2309,0.2248,0.9923,3,3,gpt-5.4-mini,5922,2021
s1__t1__gpt_5_4_mini__m5v2di,1,1,10,8,4,2,0,0,25,2.2894,0.2342,0.9663,3,3,gpt-5.4-mini,1045,1886
s1__t1__gpt_5_4_mini__m5v2di,1,2,11,9,4,2,0,0,24,2.3538,0.2686,0.9897,3,3,gpt-5.4-mini,816,1905
s1__t1__gpt_5_4_mini__m5v2di,1,3,12.5,9,7,2,0,0,24,2.2932,0.3624,0.9926,3,3,gpt-5.4-mini,1201,2150
s1__t1__gpt_5_4_mini__m5v2di,1,4,10.5,9,3,3,0,0,27,2.6188,0.4283,0.9931,3,3,gpt-5.4-mini,872,4156
s1__t1__gpt_5_4_mini__m5v2di,1,5,11,7,8,3,0,0,60,2.265,0.3739,0.7592,3,3,gpt-5.4-mini,1102,2704
s1__t1__gpt_5_4_mini__m5v2di,1,6,11,8,6,7,0,0,76,2.102,0.3334,0.6991,3,3,gpt-5.4-mini,1118,2459
s1__t1__gpt_5_4_mini__m5v2di,1,7,9,8,2,7,0,0,76,2.1704,0.3438,0.6614,3,3,gpt-5.4-mini,1118,2070
s1__t1__gpt_5_4_mini__m5v2di,1,8,10,8,4,7,0,0,76,1.9712,0.2885,0.6122,3,3,gpt-5.4-mini,1125,2017
s1__t1__gpt_5_4_mini__m5v2di,1,9,10,8,4,7,0,0,76,1.891,0.2832,0.5997,3,3,gpt-5.4-mini,1021,1938
s1__t1__gpt_5_4_mini__m5v2di,1,10,11,9,4,7,0,0,76,1.5804,0.2232,0.7833,3,3,gpt-5.4-mini,1187,2155
s1__t1__gpt_5_4_mini__m5v2di,1,11,10.5,9,3,7,0,0,76,1.7825,0.2535,0.7778,3,3,gpt-5.4-mini,1073,2321
s1__t1__gpt_5_4_mini__m5v2di,1,12,9,8,2,7,0,0,77,1.6804,0.2391,0.8823,3,3,gpt-5.4-mini,1122,1896
