condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,winner_parsimony,score_drop_warning,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,1,20.5,7,9,9,0,5,1,2,80,2.3432,0.3005,0.9782,3,3,gemini-2.5-flash-preview-09-2025,24956,8047
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,2,16.3,4,8,8.6,1,7,2,2,112,2.5982,0.3575,0.8063,3,3,gemini-2.5-flash-preview-09-2025,14969,3388
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,3,18.3,7,7,8.6,0,7,3,2,162,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,10909,2561
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,4,20.3,8,8,8.6,0,7,2,2,141,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,6287,4357
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,5,11.3,7,0,8.6,1,7,2,2,141,0,0,1,2,2,gemini-2.5-flash-preview-09-2025,23343,2242
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,6,11.3,7,0,8.6,0,7,3,2,162,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,12724,2647
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,7,14.5,6,5,7,0,10,4,2,253,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,10420,2812
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,8,18.4,8,7,6.8,0,10,3,3,345,0,0,1,3,3,gemini-2.5-flash-preview-09-2025,9267,3825
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,9,10.4,7,0,6.8,1,10,3,3,345,0,0,1,2,2,gemini-2.5-flash-preview-09-2025,46536,2631
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,10,18.4,6,8,8.8,0,6,1,2,96,2.5685,0.3454,0.9678,3,3,gemini-2.5-flash-preview-09-2025,18079,3435
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2rb,0,11,20.4,9,8,6.8,0,10,3,3,341,2.2527,0.3684,0.8289,3,3,gemini-2.5-flash-preview-09-2025,15141,2180
